0,1,2,3,4,5
tt0184894,Tom Dey,"Miles Millar, Alfred Gough",6.6,1h 50min,
tt0184849,Oscar Vega,"Ramón Aguilera, Oscar Vega",2.6,1h 16min,"Clara lives in a world ruled by TV, which she cannot enjoy as she is half blind. But with her imagination she is able to enter the magical world of Raluy, the last circus on earth, which an evil TV tycoon is eager to destroy..."
tt0184907,Chris Koch,"Will Mc, Robb, Chris Viscardi",5.2,1h 29min,
tt0185431,Steven Brill,"Tim Herlihy, Adam Sandler, Steven Brill",5.3,1h 30min,
tt0184596,Per Åhlin,"Hans Åke Gabrielsson, Per Åhlin",6.8,1h 8min,"On their way to find Paris, Sture the dog (Hasse Alfredsson) and his friend Picasso end up on a hotel in the middle of nowhere. Along with Miss Mops, Sture tries to sniff out who is causing all the strange events of the hotel."
tt0186029,"Robert Bauer, Paul Gordon",,5.0,1h 32min,Two friends experiment with drugs and end up stranded at a local store with some bizarre patrons.
tt0187880,Mika Kaurismäki,"Paul Charles Bailly, Mika Kaurismäki",5.7,1h 30min,The mechanic Jack tries to get rid of his criminal background.
tt0186975,Kris Isacsson,Kris Isacsson,5.0,1h 31min,"College students Al and Imogen meet and fall in love, but fear of commitment causes them to go their separate ways."
tt0185014,Curtis Hanson,"Michael Chabon, Steve Kloves",7.2,1h 47min,
tt0186045,Nick Gomez,Peter Steinfeld,5.7,1h 36min,"When a woman drives a car into the river to her death, everyone in town becomes a suspect."
tt0187559,Matthew Huffman,"Marni Freedman, Carlos De Los Rios",5.8,1h 37min,
tt0189456,Kimble Rendall,"Dave Warner, Mark Lamprell",4.4,1h 22min,"A killer begins to stalk the actors of a low budget horror film, killing them off one by one."
tt0190449,Virgil Widrich,"Enrico Jakob, Virgil Widrich",6.2,1h 28min,Dirección
tt0190138,Jonathan Lynn,Mitchell Kapner,6.7,1h 38min,
tt0191754,Betty Thomas,Susannah Grant,6.1,1h 43min,
tt0192266,Jennifer Phang,"Jeff Kirschenbaum, Jennifer Phang",7.7,24min,"When a gay asian brother and sister decide to ""come out"" at dinner on the very same night the unexpected happens."
tt0192255,Uli Edel,"Angela Sommer-Bodenburg, Karey Kirkpatrick, Larry Wilson",5.7,1h 31min,
tt0190590,"Joel Coen, Ethan Coen","Homer, Ethan Coen, Joel Coen",7.7,1h 47min,
tt0192126,David A. Stewart,"Dick Clement, Ian La Frenais, David A. Stewart",4.1,1h 50min,The film is an edgy black comedy set in swinging London in the late 60s. The All Saints girls play three street wise sisters who head 'up West' to rob and generally cause trouble.
tt0191397,Howard Deutch,"Vince Mc, Kewin",6.6,1h 58min,
tt0192407,Edzard Onneken,"Bernd Eilert, Michel Bergmann, Otto Waalkes",4.3,1h 32min,"Otto (Otto Walkes) tells his life story to a stranger he meets in Central Park: he has been a foundling and always dreamed about becoming a sailor on the ""Queen Henry"", because his adoptive grandfather (Otto Walkes) suggested he has been captain there. When Otto finally gets aboard some catastrophes lie ahead.."
tt0192455,Alfonso Arau,Bill Wilson,4.7,1h 35min,"A small New Mexican village discovers a severed hand that is considered a miracle of God, when it actually belongs to a murdered spouse with a husband in search of it."
tt0192912,James Cellan Jones,"Tom Barlow, Denise O'Kelly",4.2,1h 16min,"Malcolm is married - to two women. This is the story of him trying to hide his double life. Not difficult as a taxi driver with night shifts and overtime. But when both his wives insist in attending the same pop concert, Malcolm is in serious trouble."
tt0192949,Denys Arcand,"Denys Arcand, Jacob Potashnik",5.7,1h 40min,A young girl is plucked from small-town obscurity and thrust into the spotlight of the glamorous world of super-models.
tt0191787,Bill Robertson,Bill Robertson,5.9,1h 29min,"Ben Reddick is a writer for Boomer magazine in Toronto. His fledgling career gets a boost when his boss Victor gives him a cover story article to write. He has mixed feelings about it because of the topic: telephone dating. Victor gave him the assignment if only because the job wouldn't threaten his stable marriage to his wife Sarah, despite Victor stipulating that Be... Leer todo"
tt0193135,Joey Travolta,Glen Merzer,5.5,1h 30min,Enemies tells the story of a playwright and sitcom writer Paul Halpern (Academy Award Nominee David Paymer) who can't buy a break!
tt0193741,Markku Pölönen,"Esko Janhunen, Heikki Metsämäki, Markku Pölönen",5.9,1h 43min,"The life of Rauli ""Badding"" Somerjoki, a Finnish singer."
tt0194319,Grant Barbeito,Grant Barbeito,6.2,6min,A man prepares his suicide up to the point of perfection.
tt0194368,"Pontus Löwenhielm, Patrick von Krusenstjerna",Bix Skahill,6.0,1h 38min,
tt0194026,Ere Kokkonen,"Ere Kokkonen, Arto Paasilinna",5.6,1h 58min,"Two men, who both have tried to commit a suicide, decide to found a ""Let's do it together""-suicide association to help the self-destructive people to succeed in their goal. Soon they have a bus load of candidates and together they start a bus tour in order to find a suitable place for the mass suicide. The trip takes them from Finland via Norway to the Central Europe.... Leer todo"
