tconst,ordering,nconst,category,job,characters
tt0216651,4,nm0283253,actress,\N,"[""Charlotte""]"
tt0216772,1,nm0695247,actor,\N,"[""Denzel"",""Diamond""]"
tt0216772,2,nm0750019,actor,\N,"[""David 'Gage' Williams""]"
tt0216772,3,nm0005458,actor,\N,"[""Mr. B""]"
tt0216772,4,nm0193554,actor,\N,"[""Cliff""]"
tt0217654,1,nm0001002,actor,\N,"[""Ethan Carter""]"
tt0217654,2,nm0000884,actress,\N,"[""Julie Sanders""]"
tt0217654,3,nm0002078,actor,\N,"[""William Fain""]"
tt0217654,4,nm0005078,actor,\N,"[""George Armstrong Montgomery""]"
tt0216926,10,nm0852524,actress,\N,"[""Jane""]"
tt0216926,1,nm0002909,actress,\N,"[""Ally Weaver"",""Death""]"
tt0216926,2,nm0601950,actor,\N,"[""Jessie"",""Robert Kessler""]"
tt0216926,3,nm0103205,actor,\N,"[""Mr. Black""]"
tt0216926,4,nm8695333,actor,\N,"[""Laurence""]"
tt0216926,6,nm8695334,actress,\N,"[""Vicki""]"
tt0216926,7,nm8695335,actor,\N,"[""Bruce""]"
tt0216926,8,nm8695336,actress,\N,"[""Kimberly""]"
tt0216926,9,nm8695337,actor,\N,"[""Kenneth""]"
tt0218080,1,nm0000185,actor,\N,"[""Cpt. Matt Hendricks""]"
tt0218080,2,nm0276519,actress,\N,"[""Dr. Linda Christian""]"
tt0218080,3,nm0476821,actor,\N,"[""Kretz""]"
tt0218080,4,nm0705537,actress,\N,"[""Nadia""]"
tt0219653,1,nm0124930,actor,\N,"[""Dracula""]"
tt0219653,2,nm0905311,actress,\N,"[""Mary Heller""]"
tt0219653,3,nm0001538,actor,\N,"[""Simon Sheppard""]"
tt0219653,4,nm0001626,actor,\N,"[""Abraham Van Helsing""]"
tt0218641,1,nm0004839,actor,\N,"[""Jeff Cort""]"
tt0218641,2,nm0001028,actor,\N,"[""Agent Jim Carpenter""]"
tt0218641,3,nm0400194,actor,\N,"[""Agent Mack Taylor""]"
tt0218641,4,nm0001176,actress,\N,"[""Tiffany Stevens""]"
tt0218533,1,nm0438463,actor,\N,"[""Major Jaidev Rajvansh""]"
tt0218533,2,nm0002043,actress,\N,"[""Anjali""]"
tt0218533,3,nm0794363,actress,\N,"[""Pooja Mallapa""]"
tt0218533,4,nm0700875,actor,\N,"[""Colonel Hussein""]"
tt0219640,1,nm0001702,actor,\N,"[""Stan Marshall""]"
tt0219640,2,nm0569337,actor,\N,"[""Dillon Johansen""]"
tt0219640,3,nm0645949,actor,\N,"[""Deputy Mayor John Ellis""]"
tt0219640,4,nm0112294,actress,\N,"[""Savanna""]"
tt0221197,1,nm0001235,actor,\N,"[""Dean Crept""]"
tt0221197,2,nm0004883,actor,\N,"[""Mike Mattress""]"
tt0221197,3,nm0001281,actor,\N,"[""Buster Lloyd""]"
tt0221197,4,nm0628017,actor,\N,"[""Greydon Lake""]"
tt0220596,1,nm0004569,actor,\N,"[""Babu""]"
tt0220596,2,nm0463539,actress,\N,"[""Neha Verma""]"
tt0220596,3,nm2528716,actor,\N,"[""Inspector Arjun""]"
tt0220596,4,nm0801264,actress,\N,"[""Ritu Pereira""]"
tt0222020,1,nm0098372,actor,\N,"[""Jack Tyree""]"
tt0222020,2,nm0924204,actress,\N,"[""Shannon Carpenter""]"
