0,1,2,3,4,5
tt0447431,Larry Kurnarsky,"Larry Kurnarsky, Sean A. Mulvihill",7.0,1h 40min,An actor hits the wall with ego and vices in the modern times and decides to pursue the answers to happiness. A docudrama with extraordinary interviews and insights to wisdom.
tt0446273,Antonio Eguino,,6.6,1h 45min,"End of the 20's. Alfonso a young writer brought up in France, arrives to an adventurous mining town (Uyuni) in the midst of the Bolivian high plateau. Here he meets the beautiful Claudina a sensual, strong willed chola, la ""Misqui simi"" (""The one with the sweet lips""). Uyuni radiates a strange magnetism, it is charged with a collective euphoria produced by the bewitch... Leer todo"
tt0446750,Peter Greenaway,Peter Greenaway,6.5,2h 14min,"An extravagant, exotic and moving look at Rembrandt's romantic and professional life, and the controversy he created by the identification of a murderer in the painting 'The Night Watch'."
tt0447614,Philippe Blasband,Philippe Blasband,6.3,1h 14min,"One Christmas day. Three parallel lives. Three individuals in trouble. In one way or another, all of them have to face down their conscience and answer the real questions."
tt0447659,Francesca Archibugi,"Francesca Archibugi, Doriana Leondeff",6.2,1h 46min,Dirección
tt0446752,Christian Charles,"Jon Lucas, Scott Moore, Yoni Berkovits",5.5,1h 33min,A young kid is forced to live out the lies he told to become popular.
tt0448106,Claudia Carey,Claudia Carey,7.8,1h 36min,"Ethan and Terry are best summer friends who both fall in love with the same girl. Caeti loves them back, but is unable to choose between them. To keep her, they have to find a way to share her. What would you do for love?"
tt0446463,Vincent Perez,"Ann Cherkis, Hiroshi SaitôKeigo Higashino",6.2,1h 33min,
tt0450238,Gavin Claxton,Gavin Claxton,4.8,1h 24min,"Martin Freeman plays Chris, a frustrated TV producer who is forced to leave his unreliable flatmate Bob played by Velibor Topic in charge of showing a series of real estate agents around the house he is trying to sell. Worried by Bob's habit of spending all day working in the basement playing loud music, Chris asks his friend to listen out for the door bell and show a... Leer todo"
tt0450323,"Kevin Arbouet, L.J. Strong","Kevin Arbouet, L.J. Strong",7.4,1h 35min,"There has always been a thin line between society and the media, and struggling TV-news reporter Roseanne Crystal is about to cross it. She travels to the quiet town of Rhinebeck, New York to cover the story of local hero cop Gary Whitlock. While shooting background footage, she and her crew accidentally discover a grisly murder scene. At first, it seems like a random... Leer todo"
tt0447879,Reid Gershbein,Reid Gershbein,7.9,2007,"A story of love and a struggle over the virtues of free will versus destiny. It follows the journey of Reese, who becomes a hitman after he loses his wife and unborn child, as he confronts the forces of love, faith, and destiny."
tt0450890,Christophe Malavoy,"Jean-Claude Grumberg, Christophe Malavoy",6.0,1h 44min,"In 1942, the southern part of France is not yet occupied by the Nazis, but administrated by the collaborating French government in Vichy. A Parisian Jewish family flees to this ""Free Zone"" in Charente, where an old farmer gives them shelter. But when the Germans invade the Free Zone, their lives are at stake again."
tt0447907,Rodrigo Cortés,Rodrigo Cortés,6.4,1h 24min,
tt0449573,Cristian Nemescu,"Catherine Linstrum, Cristian Nemescu, Tudor Voican",7.7,2h 35min,A railway chief delays a NATO train transporting military equipment during the war in Kosovo in 1999.
tt0449018,David Mickey Evans,"Art D'Alessandro, James Grayford",6.5,1h 59min,Kent Stock disrupts his life to become coach of the Norway High School baseball team and try to lead them to victory.
tt0450188,Olivier Dahan,"Isabelle Sobelman, Olivier Dahan",7.6,2h 20min,
tt0450962,Paul Kampf,Paul Kampf,4.8,1h 42min,"Three brothers reunite at a remote cabin in the woods, when beckoned by their father. Left to deal with the dark secrets and demons that have haunted them their whole lives, they must face the resulting explosive truths."
tt0451711,Daniela Goggi,Daniela Goggi,6.1,1h 17min,"Life is a long way to adapt to fear. Monica, 33, recently separated, waits for the result of a medical examination, but has no courage to break the news to her self-centered relatives."
tt0455805,Helen Hunt,"Elinor Lipman, Alice Arlen, Victor Levin",5.9,1h 40min,
