nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles
nm0803310,Siu Ping-Lam,\N,\N,"art_department,actor,production_designer","tt0969653,tt1462900,tt0118694,tt0212712"
nm0156432,Tung Cho 'Joe' Cheung,\N,\N,"actor,director,writer","tt0105384,tt0080156,tt0109215,tt0068935"
nm0164934,Patrick Clarke,1965,\N,"actor,producer,writer","tt0929730,tt9228008,tt0118710,tt6774212"
nm0253043,Beverley Elder,\N,\N,actress,"tt0118710,tt0433342"
nm0394625,Conn Horgan,\N,\N,"actor,stunts","tt0107007,tt0112740,tt0376827,tt0372784"
nm0566663,Malachy McCourt,1931,\N,"actor,writer,producer","tt0084556,tt0838247,tt0118972,tt1386588"
nm0000199,Al Pacino,1940,\N,"actor,director,soundtrack","tt0070666,tt0099422,tt0072890,tt0068646"
nm0001583,Jerry Orbach,1935,2004,"actor,soundtrack","tt0097123,tt0092890,tt0098844,tt0101414"
nm0283299,Susan Floyd,1968,\N,actress,"tt0203259,tt0427392,tt0249478,tt0156934"
nm0568375,Ellen McElduff,1964,\N,actress,"tt0092238,tt0102138,tt0091499,tt0102316"
nm0487254,Gérard Lanvin,1950,\N,"actor,writer","tt0216787,tt0109800,tt0411272,tt0084540"
nm0001250,Charlotte Gainsbourg,1971,\N,"actress,soundtrack,writer","tt1937390,tt2382009,tt0870984,tt1527186"
nm0749222,Eric Ruf,1969,\N,"actor,miscellaneous,production_designer","tt0429046,tt1736636,tt1667060,tt15242370"
nm0196076,Tania Da Costa,\N,\N,actress,"tt0197732,tt0376444,tt0266185,tt0119866"
nm0611295,Michael Muhney,1975,\N,"actor,writer,producer","tt0112022,tt0069658,tt11316190,tt0412253"
nm0177185,Mary Kay Cook,\N,\N,"production_manager,actress,producer","tt14361892,tt9272514,tt8962124,tt24082454"
nm0172416,Jon Collins,\N,\N,"producer,miscellaneous,actor","tt2198870,tt13606226,tt4523638,tt0437741"
nm0806173,Jimmy Slonina,\N,\N,"actor,producer,director","tt13517162,tt0119495,tt5095830,tt7869774"
nm0106692,Tom Breeding,\N,\N,actor,tt0119966
nm0110055,Jeff Britt,\N,\N,actor,"tt0119966,tt2968574"
nm0720417,Paula Rester,\N,\N,actress,"tt0119966,tt0397053,tt0414590,tt0495158"
nm0569498,Craig McGonagill,\N,\N,"actor,composer",tt0119966
nm0000450,Philip Seymour Hoffman,1967,2014,"actor,producer,soundtrack","tt0472062,tt1560747,tt0292963,tt0379725"
nm0000513,William H. Macy,1950,\N,"actor,writer,director","tt0116282,tt0118749,tt0175880,tt1586680"
nm0682071,Rebecca Pidgeon,1965,\N,"actress,soundtrack,composer","tt1245526,tt0155388,tt0120202,tt0252503"
nm0383449,Michael Higgins,1920,2008,"actor,soundtrack","tt0071360,tt0105327,tt0120202,tt0092563"
nm0641168,Brian O'Halloran,1969,\N,"actor,producer,miscellaneous","tt0109445,tt0424345,tt0261392,tt0113749"
nm0424682,Bryan Johnson,1967,\N,"actor,writer,director","tt0113749,tt0261392,tt0120655,tt0120467"
nm0507915,Jerry Lewkowitz,\N,\N,actor,"tt0120467,tt0112777"
nm0839486,Ethan Suplee,1976,\N,"actor,soundtrack","tt0210945,tt0289879,tt0251160,tt0118842"
nm0513281,Alex D. Linz,1989,\N,actor,"tt0119303,tt0117247,tt0289765,tt0120855"
nm0000511,Shirley MacLaine,1934,\N,"actress,soundtrack,writer","tt0086425,tt0098384,tt0048750,tt0053604"
