id_film,Direccion,Guion,Puntuacion_IMDB,Puntuacion_Rottem,Duracion,Argumento
tt0419658,Vaughn Verdi,Vaughn Verdi,8.2,50%,2005,"A love story brimming with comic irony as values clash over creativity, integrity and fame."
tt0419099,Jim Fleigner,Jim Fleigner,6.1,50%,1h 26min,Three best friends embark on a road trip to discover the secret which their parents have been hiding.
tt0419026,Dave Diamond,Dave Diamond,5.7,64%,1h 31min,"An enterprising lawyer, acting on a report that a female colleague is up to make partner, plays up the established rumor that he's gay in order to better his chances at edging out his competition."
tt0419610,Busi Cortés,Consuelo Garrido,5.2,64%,2h,The women of a prosperous provincial family hide unsuspected secrets ranging from amorous entanglements to murder for mercy or greed.
tt0421262,Greg Carter,Cyril Augustin Jr.Keith Kjornes,3.3,33%,2005,Two friends go treasure hunting in the hood after finding out bandits may have stashed money from a bank heist somewhere in the neighborhood before being arrested.
tt0420978,"Michael Aimette, John G. Hofmann","Michael Aimette, John G. Hofmann",5.4,42%,1h 25min,"16-year-old James Powers finds himself lost after his mother dies and he is forced to live with his three Irish aunts. One lucky weekend, he starts a wildly successful business of selling illegal magazines on the black market."
tt0420982,Aleksey Balabanov,"Stas Mokhnachev, Aleksey Balabanov",7.2,81%,1h 51min,"This movie is about the stern gangster customs of one of the Russian provincial cities in the mid-90s . And you could expect either a stupid game of blind man's buffets or a truly bloody showdown with the stacks of ""bluffers""."
tt0420529,Eme Guitron,Joey Jameson,8.4,74%,9min,Dirección
tt0420941,Luis Molina Casanova,"Luis R. González Argüeso, Adolfo Busó Steffens",4.8,74%,1h 40min,"A handful of immigrants make a bittersweet pilgrimage back to the land of their birth in this comedy drama. Ten people who have little in common beyond the fact they were all originally from Puerto Rico and now live in New York discover they've won a contest giving them each a free, all-expenses paid vacation -- in Puerto Rico. While some are eager to visit the place ... Leer todo"
tt0417930,Pupi Avati,Pupi Avati,6.4,65%,1h 46min,"The movie is about the story of two musicians: Gianca, who plays the saxophone in a desperate attempt to follow his father's footsteps, and Nick, a trumpeter in love with Clifford Brown. They decide to create a band, and Gianca helps Nick in order to exploit his talent. Until Nick proves himself better than his friend."
tt0418325,Joachim Masannek,Joachim Masannek,4.4,36%,1h 35min,An unsupervised junior soccer team loses their ace player to the leader of a rival gang en route to qualifying to play against the nation team and must have her back.
tt0420347,Yves Desgagnés,"Martin ForgetÉmile Gaudreault, Benoît Pelletier",5.7,48%,1h 35min,"Dans la ville de Montréal, un célèbre concours de chant (Idole instantanée), dont le gagnant enregistre son premier album, présente quatre finalistes. Quand le gagnant de l'an passé, Simon Sirois (Claudine Mercier) doit s'occuper de sa mère malade alors qu'il aurait préféré aller à Las Vegas pour rencontrer Céline Dion, les quatre finalistes (toutes interprétées par C... Leer todo"
tt0418251,Pat Higgins,Pat Higgins,3.1,48%,1h 22min,Monsters. Zombies. Chainsaws. Somebody Doesn't Love Lucy...
tt0418323,Rick Morris,Rick Morris,3.8,75%,2005,Dirección
tt0418084,Massimo Andrei,"Massimo Andrei, Silvia Ranfagni",6.1, 0%,1h 34min,"Desiderio is a young transsexual who prostitutes for a living. After meeting Andrea, she falls in love with him and decides to leave the street, not knowing that he is about to get married."
tt0418887,Srdjan Dragojevic,Srdjan Dragojevic,6.2,43%,1h 29min,"In this sequel of ""We Are Not Angels"", a highly successful Yugoslavian comedy, a former playboy must cope with his daughter's adolescence, as well as numerous boys that keep knocking at her doors. A worried father thinks she may get in type of troubles he used to cause when he was just the age of her wooers."
tt0418872,Michael D. Akers,"Michael D. Akers, Sandon Berg",4.9,43%,1h 28min,"Confusion ensues when, in order to win the million dollar payoff from a reality based TV show, straight Malcolm Caulfield must convince his friends and family that he is going to marry openly gay man Spencer Finch."
tt0419259,Richard Keith Quintero,"Craig Robert Young, Richard Keith Quintero",6.4,43%,1h 23min,A hasbeen boyband member crosses the pond from the UK to become the next big... Wannabe!
tt0418773,Phil Morrison,"Angus Mac, Lachlan",6.9,86%,1h 46min,
tt0419416,Ahmad Nader Galal,Belal Fadl,6.6,86%,2h,"Undermined by poverty the lead character, Hassan, resolves to theft in order to feed his family. While on the run from the authorities Hassan stumbles across a young fugitive named Salma who's escaping the sexually harassing grips of her step father. Unexpected twists and turns in events take place through out the story ranging from false murder accusations to intense... Leer todo"
tt0419663,Kelsey T. Howard,"Gene Hess, Paul Lawrence, Paul T. Murray",3.7,27%,1h 28min,"Reeling from his dismissal from a reality show, a deranged runner-up holds a group of co-eds hostage on the set of his own fictitious show, where losers suffer a deadly fate."
tt0419256,Richard E. Grant,Richard E. Grant,6.7,54%,2h,Ralph witnesses the disintegration of his parents' marriage through adultery and alcohol during the last gasp of the British Empire in Swaziland in 1969. Ralph finds his new step-mother is the only one who understands his inner turmoil.
tt0418873,"Thomas Frydetzki, Annette Stefan","Wilhelm Busch, Thomas Frydetzki, Laurens Straub",2.5,54%,1h 27min,"Max and Moritz are two brothers living a life of petty crime. After the two boys steal a car, they are sent to a boot camp; stole another car and when they acquire the key to their military school's ordinance depot, things start to change."
tt0418873,"Thomas Frydetzki, Annette Stefan","Wilhelm Busch, Thomas Frydetzki, Laurens Straub",2.5,60%,1h 27min,"Max and Moritz are two brothers living a life of petty crime. After the two boys steal a car, they are sent to a boot camp; stole another car and when they acquire the key to their military school's ordinance depot, things start to change."
tt0419198,Roberto Benigni,"Roberto Benigni, Vincenzo Cerami",7.0,20%,1h 54min,
tt0421090,Martin Curland,Martin Curland,6.0,25%,1h 30min,
tt0421275,Steven Foley,Steven Foley,6.2,60%,1h 39min,"Strange as Angels tells the story of Marilyn Ross, a beautiful painter in Chicago who decides to leave her mundane life behind and search for inner happiness until she meets Rodney Porter, a recently divorced journalist and the two begin an intense romance. Marilyn's is a story about the complicated notion of female independence in a post-feminist era; she feels the p... Leer todo"
tt0420555,Bertrand Blier,Bertrand Blier,5.6,60%,1h 35min,
tt0421528,Ramón Salazar,Ramón Salazar,6.6,44%,1h 52min,
tt0421920,Chus Gutiérrez,"Juan Carlos Rubio, Chus Gutiérrez",5.9,53%,1h 30min,
tt0421994,Ol Parker,Ol Parker,6.7,35%,1h 30min,
tt0421229,Dan Ireland,"Martin Donovan, Dan Ireland, Ruth Sacks",7.6,70%,1h 48min,"All but abandoned by her family in a London retirement hotel, an elderly woman strikes up a curious friendship with a young writer."
tt0421750,Ben Gregor,Tim Plester,5.4,00%,15min,"Cult '80s sci-fi gang ""Blake's 7"" make an eventful late night stop at Newport Pagnell Services on the M1."
tt0421998,Ezequiel Acuña,"Ezequiel Acuña, Alberto Rojas Apel",6.6,27%,1h 20min,
tt0422015,Costa-Gavras,"Donald E. Westlake, Costa-Gavras, Jean-Claude Grumberg",7.3,80%,1h 57min,"A chemist (Garcia) loses his job to outsourcing. Two years later and still jobless, he hits on a solution: to genuinely eliminate his competition."
tt0422093,Darren Grant,Tyler Perry,5.7,16%,1h 56min,
tt0422528,Liam Lynch,Sarah Silverman,6.5,65%,1h 12min,"Narrative digressions on sex, race, politics, and more from comedienne Sarah Silverman."
tt0423238,"Paul Myers, Brennan Shroff","Paul Myers, Brennan Shroff",5.5,36%,1h 30min,"Bell and Belle want to break out of their trailer park lives and get up and out to the ""Big City"" of Atlanta. Just when they think they are on their way to getting a nest egg Bell falls for a handsome police officer named Rhett Butler."
tt0424025,J.J. Alani,J.J. Alani,5.5,53%,1h 46min,Sparks fly when a Jew and a Muslim fall in love in New York.
tt0424287,George Bamber,"Eric Orner, David Vernon",6.1,30%,1h 28min,A young gay man tries to balance his career as a personal assistant while searching for love.
tt0423444,Didier Caron,"Didier Caron, Sabrina Compeyron, Amanda Sthers",4.4,88%,1h 23min,"Odette has planned everything for her daughter's wedding to take place as well as possible: the caterer, the venue, her lifelong friends, nothing has been left to chance for this evening to be unforgettable: It will be"
tt0424338,Valérie Lemercier,"Brigitte Buc, Valérie Lemercier",5.6,35%,1h 50min,A comedy set in the world of European royalty.
tt0425598,Michel Gondry,Dave Chappelle,7.2,92%,1h 43min,"A mix of Dave Chappelle's sketch comedy and musical interludes, inspired in part by the 1973 documentary Wattstax."
tt0423814,Philippe de Chauveron,"Philippe de Chauveron, Guy Laurent",4.9,19%,1h 33min,"Franck and Paul are working as team buddies in their Paris police unit. They are sent on a mission in Toulon to solve a drug traffic mystery, but things get out of hand when Paul learns that Franck has an affair with Valeria, his wife, who also happens to work in the police forces..."
tt0423914,Pierre Jolivet,"Pierre Jolivet, Simon Michaël",6.6,78%,1h 28min,"Because of a motorcycle accident, a young man from the poor outskirts of Paris must find a steady job in order to avoid being sent to prison. He gets into more trouble trying to do that."
tt0425314,Jonas Elmer,"Mette Heeno, Henriette Lind, Lotte Thorsen",5.6,40%,1h 34min,The Danish Bridget Jones.
tt0423409,Michael Winterbottom,"Laurence Sterne, Frank Cottrell Boyce",6.7,88%,1h 34min,"Director Michael Winterbottom (Northam) attempts to shoot the adaptation of Laurence Sterne's essentially unfilmable novel, ""The Life and Opinions of Tristram Shandy, Gentleman."""
